date,parameter,unit,value
1993-01-01,StrGlo,W/m2,18.10000
1993-01-01,T,°C,-3.97000
1993-01-01,p,hPa,976.56000
1993-01-01,T_max_h1,°C,-2.75000
1993-01-02,StrGlo,W/m2,63.76000
1993-01-02,T,°C,-6.12000
1993-01-02,p,hPa,976.53000
1993-01-02,T_max_h1,°C,-3.29000
1993-01-03,StrGlo,W/m2,39.78000
1993-01-03,T,°C,-8.71000
1993-01-03,p,hPa,973.57000
1993-01-03,T_max_h1,°C,-7.94000
1993-01-04,StrGlo,W/m2,39.18000
1993-01-04,T,°C,-5.94000
1993-01-04,p,hPa,975.05000
1993-01-04,T_max_h1,°C,-3.61000
1993-01-05,StrGlo,W/m2,61.59000
1993-01-05,T,°C,-3.50000
1993-01-05,p,hPa,982.00000
1993-01-05,T_max_h1,°C,1.00000
1993-01-06,StrGlo,W/m2,48.38000
1993-01-06,T,°C,2.49000
1993-01-06,p,hPa,981.23000
1993-01-06,T_max_h1,°C,6.62000
1993-01-07,StrGlo,W/m2,17.44000
1993-01-07,T,°C,4.91000
1993-01-07,p,hPa,976.16000
1993-01-07,T_max_h1,°C,6.17000
1993-01-08,StrGlo,W/m2,10.72000
1993-01-08,T,°C,6.55000
1993-01-08,p,hPa,975.67000
1993-01-08,T_max_h1,°C,8.05000
1993-01-09,StrGlo,W/m2,41.01000
1993-01-09,T,°C,4.31000
1993-01-09,p,hPa,975.99000
1993-01-09,T_max_h1,°C,6.35000
1993-01-10,StrGlo,W/m2,56.78000
1993-01-10,T,°C,4.61000
1993-01-10,p,hPa,970.41000
1993-01-10,T_max_h1,°C,9.10000
1993-01-11,StrGlo,W/m2,25.26000
1993-01-11,T,°C,10.04000
1993-01-11,p,hPa,961.40000
1993-01-11,T_max_h1,°C,11.96000
1993-01-12,StrGlo,W/m2,27.58000
1993-01-12,T,°C,11.25000
1993-01-12,p,hPa,962.49000
1993-01-12,T_max_h1,°C,16.26000
1993-01-13,StrGlo,W/m2,70.23000
1993-01-13,T,°C,8.10000
1993-01-13,p,hPa,970.52000
1993-01-13,T_max_h1,°C,11.89000
1993-01-14,StrGlo,W/m2,20.47000
1993-01-14,T,°C,9.74000
1993-01-14,p,hPa,976.06000
1993-01-14,T_max_h1,°C,11.72000
1993-01-15,StrGlo,W/m2,53.02000
1993-01-15,T,°C,5.25000
1993-01-15,p,hPa,977.53000
1993-01-15,T_max_h1,°C,8.00000
1993-01-16,StrGlo,W/m2,78.89000
1993-01-16,T,°C,5.98000
1993-01-16,p,hPa,980.44000
